企业名称,所在镇街,主要类型,分类依据,主营产品,数据来源,证据片段
佛山市南海区大数据投资建设有限公司,桂城街道,数据服务类,承担南海数字政府建设与数据资产管理并提供平台服务,数字政府平台,https://www.nfnews.com,实现政府数据实时对接并提供数字化服务
广东瀚蓝环境股份有限公司,桂城街道,数据服务类,通过数据平台进行环境监测与智慧管理,环境数据平台,https://www.grandblue.cn,构建智慧环保数据管理系统
佛山电器照明股份有限公司,禅城区张槎街道,其他数据相关类,通过智能照明系统采集和应用数据,智能照明系统,https://www.chinafsl.com,推动智能照明与数据应用结合
广东志高空调有限公司,里水镇,其他数据相关类,通过智能制造系统应用工业数据,智能制造系统,http://www.china-chigo.com/,利用工业数据优化生产流程
广东星星制冷设备有限公司,三水区乐平镇,其他数据相关类,采用工业互联网数据管理生产,工业数据平台,https://www.gdxingxing.com/,通过数据实现生产管理优化
佛山华数科技有限公司,桂城街道,数据技术类,提供大数据平台与分析能力,数据分析平台,https://www.fshsdata.com/,提供数据分析与智能决策系统
广东数安科技有限公司,桂城街道,数据安全类,提供数据安全与隐私保护技术,数据安全系统,https://www.gdshuan.com/,提供数据加密与隐私保护解决方案
广东德生科技股份有限公司,桂城街道,数据服务类,提供社保数据服务与数据平台,社保数据系统,https://www.e-tecsun.com,提供基于数据的公共服务平台
佛山农村商业银行股份有限公司,桂城街道,数据服务类,通过数据分析支持金融服务,金融数据平台,https://www.fsnsyh.com/,通过数据分析提升金融服务能力
广东南海农商银行科技公司,桂城街道,数据服务类,提供金融数据平台与技术支持,金融数据系统,https://www.nanhaibank.cn/,提供数据驱动金融服务
佛山联通南海分公司,桂城街道,数据基础设施类,提供通信与数据基础设施服务,通信数据平台,https://www.10010.com/,提供网络与数据基础设施支撑
中国移动南海分公司,桂城街道,数据基础设施类,提供数据传输与云服务基础设施,云通信服务,https://www.10086.cn/,提供数据传输与云计算能力
中国电信南海分公司,桂城街道,数据基础设施类,提供云计算与数据中心服务,云平台,https://www.10000.com/,提供数据基础设施服务
广东美的集团（顺德，辐射南海产业链）,北滘镇,其他数据相关类,通过工业互联网与数据平台驱动生产,工业互联网平台,https://www.midea.com,构建工业数据驱动系统
海天味业股份有限公司（高明，产业链相关）,荷城街道,其他数据相关类,通过数据优化生产与供应链,数据供应链系统,https://www.haitian-food.com/,通过数据优化生产流程
广东小熊电器股份有限公司（顺德）,勒流街道,其他数据相关类,通过电商数据与用户数据驱动业务,电商数据平台,https://www.bears.com.cn/,通过用户数据优化产品设计
佛山数云信息科技有限公司,禅城区张槎街道,数据技术类,提供数据建模与分析系统,数据平台,https://www.foshanshuyun.com/,提供数据建模与分析能力
佛山数字空间科技有限公司,桂城街道,数据技术类,提供数字孪生与大数据可视化服务,数字孪生平台,https://www.fsdigitalspace.com/,提供城市数据可视化与数字孪生服务
广东工业互联网应用创新中心（佛山）,狮山镇,其他数据相关类,推动工业互联网数据应用,工业互联网平台,https://www.gdiiic.com/,构建工业数据应用体系
佛山数据港项目（数据中心）,里水镇,数据基础设施类,建设数据中心提供算力与存储服务,数据中心,https://www.dataport.cn/,提供数据存储与计算能力
